"TestID","assessmentname","eventcode","timestamp"
"3602","High Availability, Fault Tolerance, and Scalability","STRASMNT","2017-07-20 12:30:31.000"
"3602","High Availability, Fault Tolerance, and Scalability","VIEWASMTDIAG","2017-07-20 12:30:32.000"
"3652","High Availability, Fault Tolerance, and Scalability","STRASMNT","2017-07-20 19:01:25.000"
"3652","High Availability, Fault Tolerance, and Scalability","VIEWASMTDIAG","2017-07-20 19:01:25.000"
"3707","Implement Elastic Beanstalk Solutions","STRASMNT","2017-07-21 00:02:41.000"
"3698","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-21 00:02:50.000"
"3698","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-21 00:02:54.000"
"3698","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-21 00:02:59.000"
"3698","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-21 00:03:03.000"
"3703","Design and Implement S3 Solutions","RDYASMNT","2017-07-21 00:03:37.000"
"3640","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-20 17:01:54.000"
"3640","High Availability, Fault Tolerance, and Scalability","VIEWASMTGRADINGHINT","2017-07-20 17:02:04.000"
"3640","High Availability, Fault Tolerance, and Scalability","CMPLASMNT","2017-07-20 17:02:28.000"
"3640","High Availability, Fault Tolerance, and Scalability","GRDASMNT","2017-07-20 17:02:28.000"
"3640","High Availability, Fault Tolerance, and Scalability","GRDDOM","2017-07-20 17:02:28.000"
"3640","High Availability, Fault Tolerance, and Scalability","GRDDOM","2017-07-20 17:02:28.000"
"3651","Troubleshoot Multi-Tier Applications","RDYASMNT","2017-07-20 19:03:35.000"
"3638","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-20 17:07:27.000"
"3792","Troubleshoot Multi-Tier Applications","RDYASMNT","2017-07-21 15:03:53.000"
"3623","High Availability, Fault Tolerance, and Scalability","CMPLASMNT","2017-07-20 15:01:10.000"
"3623","High Availability, Fault Tolerance, and Scalability","GRDASMNT","2017-07-20 15:01:10.000"
"3623","High Availability, Fault Tolerance, and Scalability","GRDDOM","2017-07-20 15:01:10.000"
"3623","High Availability, Fault Tolerance, and Scalability","GRDDOM","2017-07-20 15:01:10.000"
"3625","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-20 15:01:47.000"
"3659","VPC and VPC Networking","STRASMNT","2017-07-20 20:11:06.000"
"3659","VPC and VPC Networking","VIEWASMTDIAG","2017-07-20 20:11:07.000"
"3652","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-20 19:06:45.000"
"3698","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-21 00:01:32.000"
"3698","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-21 00:01:43.000"
"3700","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-21 00:01:59.000"
"3698","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-21 00:02:01.000"
"3698","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-21 00:02:03.000"
"3686","Implement Elastic Beanstalk Solutions","CMPLASMNT","2017-07-21 00:02:24.000"
"3686","Implement Elastic Beanstalk Solutions","GRDASMNT","2017-07-21 00:02:24.000"
"3686","Implement Elastic Beanstalk Solutions","GRDDOM","2017-07-21 00:02:24.000"
"3686","Implement Elastic Beanstalk Solutions","GRDDOM","2017-07-21 00:02:24.000"
"3686","Implement Elastic Beanstalk Solutions","GRDDOM","2017-07-21 00:02:24.000"
"3702","VPC and VPC Networking","RDYASMNT","2017-07-21 00:02:32.000"
"3772","High Availability, Fault Tolerance, and Scalability","STRASMNT","2017-07-21 12:01:06.000"
"3772","High Availability, Fault Tolerance, and Scalability","CANCASMNT","2017-07-21 12:01:30.000"
"3773","High Availability, Fault Tolerance, and Scalability","STRASMNT","2017-07-21 12:01:52.000"
"3642","High Availability, Fault Tolerance, and Scalability","STRASMNT","2017-07-20 18:27:28.000"
"3642","High Availability, Fault Tolerance, and Scalability","VIEWASMTDIAG","2017-07-20 18:27:29.000"
"3839","High Availability, Fault Tolerance, and Scalability","STRASMNT","2017-07-21 18:01:21.000"
"3839","High Availability, Fault Tolerance, and Scalability","CANCASMNT","2017-07-21 18:01:39.000"
"3793","Implement Elastic Beanstalk Solutions","STRASMNT","2017-07-21 15:01:27.000"
"3794","Troubleshoot Multi-Tier Applications","STRASMNT","2017-07-21 15:02:20.000"
"3654","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-20 19:31:50.000"
"3654","High Availability, Fault Tolerance, and Scalability","STRASMNT","2017-07-20 19:27:04.000"
"3654","High Availability, Fault Tolerance, and Scalability","VIEWASMTDIAG","2017-07-20 19:27:05.000"
"3803","Implement Elastic Beanstalk Solutions","STRASMNT","2017-07-21 16:03:58.000"
"3706","High Availability, Fault Tolerance, and Scalability","STRASMNT","2017-07-21 00:00:32.000"
"3699","VPC and VPC Networking","RDYASMNT","2017-07-21 00:00:35.000"
"3698","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-21 00:00:43.000"
"3698","High Availability, Fault Tolerance, and Scalability","VIEWASMTGRADINGHINT","2017-07-21 00:00:49.000"
"3698","High Availability, Fault Tolerance, and Scalability","VIEWASMTDIAG","2017-07-21 00:00:56.000"
"3698","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-21 00:01:29.000"
"3860","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-21 20:05:33.000"
"3859","High Availability, Fault Tolerance, and Scalability","VIEWASMTGRADINGHINT","2017-07-21 20:06:12.000"
"3859","High Availability, Fault Tolerance, and Scalability","VIEWASMTDIAG","2017-07-21 20:06:21.000"
"3869","High Availability, Fault Tolerance, and Scalability","STRASMNT","2017-07-21 22:05:23.000"
"3644","High Availability, Fault Tolerance, and Scalability","STRASMNT","2017-07-20 18:29:25.000"
"3644","High Availability, Fault Tolerance, and Scalability","VIEWASMTDIAG","2017-07-20 18:29:26.000"
"3627","Design and Implement S3 Solutions","STRASMNT","2017-07-20 15:02:42.000"
"3627","Design and Implement S3 Solutions","VIEWASMTDIAG","2017-07-20 15:02:42.000"
"3626","VPC and VPC Networking","RDYASMNT","2017-07-20 15:02:41.000"
"3605","Design and Implement S3 Solutions","STRASMNT","2017-07-20 13:01:11.000"
"3605","Design and Implement S3 Solutions","VIEWASMTDIAG","2017-07-20 13:01:12.000"
"3801","Implement Elastic Beanstalk Solutions","CMPLASMNT","2017-07-21 16:00:15.000"
"3801","Implement Elastic Beanstalk Solutions","GRDASMNT","2017-07-21 16:00:15.000"
"3801","Implement Elastic Beanstalk Solutions","GRDDOM","2017-07-21 16:00:15.000"
"3801","Implement Elastic Beanstalk Solutions","GRDDOM","2017-07-21 16:00:15.000"
"3801","Implement Elastic Beanstalk Solutions","GRDDOM","2017-07-21 16:00:15.000"
"3802","Design and Implement S3 Solutions","RDYASMNT","2017-07-21 16:00:43.000"
"3860","High Availability, Fault Tolerance, and Scalability","STRASMNT","2017-07-21 20:00:04.000"
"3642","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-20 18:32:51.000"
"3644","High Availability, Fault Tolerance, and Scalability","RDYASMNT","2017-07-20 18:33:47.000"
"3655","VPC and VPC Networking","STRASMNT","2017-07-20 19:34:16.000"
"3655","VPC and VPC Networking","VIEWASMTDIAG","2017-07-20 19:34:17.000"
"3861","High Availability, Fault Tolerance, and Scalability","STRASMNT","2017-07-21 20:10:46.000"
