TestId,UserId,assessment_name,score
3451,1824,"High Availability, Fault Tolerance, and Scalability",6.579999924
3453,1825,"High Availability, Fault Tolerance, and Scalability",0
3450,1823,"High Availability, Fault Tolerance, and Scalability",73.69999695
3454,1826,"High Availability, Fault Tolerance, and Scalability",95.20999908
3457,1826,VPC and VPC Networking,100
3459,1828,"High Availability, Fault Tolerance, and Scalability",0
3460,1820,VPC and VPC Networking,92.5
3461,1827,VPC and VPC Networking,63.33000183
3468,1835,"High Availability, Fault Tolerance, and Scalability",0
3472,1838,"High Availability, Fault Tolerance, and Scalability",0
3471,1837,"High Availability, Fault Tolerance, and Scalability",0
3464,1831,"High Availability, Fault Tolerance, and Scalability",39.27999878
3469,1834,VPC and VPC Networking,92.5
3473,1837,VPC and VPC Networking,92.5
3467,1834,"High Availability, Fault Tolerance, and Scalability",0
3475,1836,VPC and VPC Networking,100
3455,1827,"High Availability, Fault Tolerance, and Scalability",0
3466,1833,VPC and VPC Networking,92.5
3477,1839,"High Availability, Fault Tolerance, and Scalability",100
3465,1832,VPC and VPC Networking,100
3476,1827,"High Availability, Fault Tolerance, and Scalability",1.320000052
3482,1841,VPC and VPC Networking,92.5
3474,1835,VPC and VPC Networking,
3480,1840,VPC and VPC Networking,100
3479,1840,"High Availability, Fault Tolerance, and Scalability",
3481,1838,VPC and VPC Networking,57.5
3456,1826,"High Availability, Fault Tolerance, and Scalability",100
3458,1826,Design and Implement S3 Solutions,87.93000031
3487,1834,"High Availability, Fault Tolerance, and Scalability",94.26000214
3478,1833,"High Availability, Fault Tolerance, and Scalability",0
3483,1842,"High Availability, Fault Tolerance, and Scalability",100
3490,1847,"High Availability, Fault Tolerance, and Scalability",0
3486,192,Troubleshoot Multi-Tier Applications,
3494,1849,"High Availability, Fault Tolerance, and Scalability",
3501,1852,Design and Implement S3 Solutions,87.93000031
3484,1843,"High Availability, Fault Tolerance, and Scalability",100
3493,1848,VPC and VPC Networking,63.33000183
3495,1829,VPC and VPC Networking,92.5
3497,1851,"High Availability, Fault Tolerance, and Scalability",62.34999847
3512,1857,"High Availability, Fault Tolerance, and Scalability",100
3498,1852,"High Availability, Fault Tolerance, and Scalability",98.69999695
3502,1853,VPC and VPC Networking,
3507,1855,"High Availability, Fault Tolerance, and Scalability",0
3504,1846,Troubleshoot Multi-Tier Applications,54.99000168
3496,1850,"High Availability, Fault Tolerance, and Scalability",0
3499,1852,VPC and VPC Networking,100
