"TestID","question","answer"
"3527","Please rate this assessment from one to five, five being the highest","5"
"3527","What did you love about Cloud Assessments and this assessment in particular?","i would love to see my skills"
"3527","Why did you rate it the way you did?","8"
"3527","Did you understand what was expected of you (was the scenario clear)?","yes"
"3527","Was the skill level appropriate for what we described?","9"
"3527","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3527","Do you have any specific suggestions for improvements?","be precise in questioning give some clue or information"
"3527","What additional features would you like to see?","extra information"
"3527","What other types of assessments would you like to see?","many of them"
"3527","Would you be interested in a verified micro certification?","yes"
"3527","Please rate this assessment from one to five, five being the highest","5"
"3527","What did you love about Cloud Assessments and this assessment in particular?","vcvv"
"3527","Why did you rate it the way you did?","vcvc"
"3527","Did you understand what was expected of you (was the scenario clear)?","vcxvv"
"3527","Was the skill level appropriate for what we described?","cvcxv"
"3527","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3527","Do you have any specific suggestions for improvements?","vcxv"
"3527","What additional features would you like to see?","cvxcvx"
"3527","What other types of assessments would you like to see?","vxcvx"
"3527","Would you be interested in a verified micro certification?","vxcvx"
"3527","Please rate this assessment from one to five, five being the highest","5"
"3527","What did you love about Cloud Assessments and this assessment in particular?","vxcvxvx"
"3527","Why did you rate it the way you did?","vxcv"
"3527","Did you understand what was expected of you (was the scenario clear)?","vxcvxxcv"
"3527","Was the skill level appropriate for what we described?","vxcvcxvx"
"3527","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3527","Do you have any specific suggestions for improvements?","vxcvxvv"
"3527","What additional features would you like to see?","vxcvvcv"
"3527","What other types of assessments would you like to see?","vxcvxcv"
"3527","Would you be interested in a verified micro certification?","vxcvx"
"3522","Please rate this assessment from one to five, five being the highest","5"
"3522","What did you love about Cloud Assessments and this assessment in particular?","na"
"3522","Why did you rate it the way you did?","na"
"3522","Did you understand what was expected of you (was the scenario clear)?","na"
"3522","Was the skill level appropriate for what we described?","na"
"3522","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3522","Do you have any specific suggestions for improvements?","na"
"3522","What additional features would you like to see?","na"
"3522","What other types of assessments would you like to see?","na"
"3522","Would you be interested in a verified micro certification?","na"
"3521","Please rate this assessment from one to five, five being the highest","5"
