UserId,country,certifications
1,No Value Provided,[]
1011,Texas Republic,"[""aws_developer"", ""aws_devops_engineer""]"
1009,United States,"[""aws_developer""]"
1016,United States,"[""aws_developer""]"
1024,No Value Provided,[]
1017,No Value Provided,[]
1012,USA,"[""aws_devops_engineer""]"
1026,US,[]
1015,USA,[]
1040,USA,[]
1039,No Value Provided,"[""aws_developer"", ""aws_devops_engineer"", ""aws_solutions_architect"", ""aws_solutions_professional"", ""aws_sysops_admin""]"
1045,No Value Provided,[]
1020,united states,[]
1041,No Value Provided,[]
1037,No Value Provided,[]
1038,No Value Provided,[]
1021,No Value Provided,[]
1044,United States,[]
1042,No Value Provided,[]
1056,United States,"[""AWS Certified Solutions Architect - Associate""]"
1036,No Value Provided,[]
1051,No Value Provided,[]
1030,No Value Provided,[]
1053,USA,"[""AWS Certified Developer""]"
1046,No Value Provided,[]
1061,No Value Provided,[]
1054,USA,"[""AWS Certified DevOps Engineer"", ""AWS Certified Solutions Architect - Associate""]"
1063,USA,[]
1059,United States,"[""aws_developer""]"
1047,No Value Provided,"[""AWS Certified DevOps Engineer"", ""AWS Certified Developer"", ""AWS Certified Solutions Architect - Associate"", ""AWS Certified Solutions Architect - Professional"", ""AWS Certified SysOps Administrator""]"
1058,No Value Provided,[]
1060,No Value Provided,[]
1055,United States,[]
1057,No Value Provided,[]
106,USA,[]
1062,No Value Provided,[]
1072,No Value Provided,[]
1066,USA,"[""AWS Certified DevOps Engineer"", ""AWS Certified Developer"", ""AWS Certified SysOps Administrator""]"
1068,No Value Provided,[]
1064,No Value Provided,[]
1071,No Value Provided,[]
1069,No Value Provided,"[""aws_developer"", ""aws_solutions_architect""]"
107,United States,[]
1077,No Value Provided,[]
1073,No Value Provided,[]
1079,No Value Provided,[]
1035,United States,[]
1070,United States,"[""aws_solutions_architect""]"
1074,No Value Provided,[]
1078,US,"[""AWS Certified Developer"", ""AWS Certified Solutions Architect - Associate"", ""AWS Certified SysOps Administrator""]"
1076,No Value Provided,"[""aws_solutions_architect""]"
1082,No Value Provided,[]
1090,USA,"[""aws_developer"", ""aws_solutions_architect"", ""aws_sysops_admin""]"
1101,United States,"[""aws_solutions_architect""]"
1065,United States,"[""AWS Certified SysOps Administrator""]"
1083,United States,[]
1087,Ireland,"[""AWS Certified Solutions Architect - Associate""]"
1086,No Value Provided,[]
1093,United States,"[""aws_developer"", ""aws_devops_engineer"", ""aws_solutions_architect"", ""aws_solutions_professional"", ""aws_sysops_admin""]"
1099,No Value Provided,[]
1088,USA,[]
1095,No Value Provided,[]
1084,No Value Provided,[]
1085,Ukraine,"[""aws_solutions_architect""]"
1081,United Kingdom,[]
1100,USA,"[""aws_developer"", ""aws_devops_engineer"", ""aws_solutions_architect"", ""aws_solutions_professional"", ""aws_sysops_admin""]"
1097,No Value Provided,[]
1094,USA,"[""aws_solutions_architect""]"
1102,No Value Provided,[]
1098,No Value Provided,[]
1105,Canada,"[""aws_solutions_architect""]"
1103,US,"[""aws_solutions_architect""]"
1089,United States,[]
1029,No Value Provided,[]
1075,US,"[""aws_solutions_architect""]"
1092,No Value Provided,[]
1112,United States,"[""aws_solutions_architect""]"
1091,No Value Provided,[]
1106,No Value Provided,"[""AWS Certified Solutions Architect - Associate""]"
1107,Ireland,"[""aws_solutions_architect"", ""aws_sysops_admin""]"
1114,No Value Provided,[]
1116,No Value Provided,"[""aws_developer"", ""aws_solutions_professional"", ""aws_sysops_admin""]"
1111,United States,"[""aws_developer""]"
1109,No Value Provided,"[""AWS Certified Developer""]"
1124,USA,"[""aws_solutions_architect""]"
1120,India,"[""AWS Certified Solutions Architect - Associate"", ""AWS Certified Solutions Architect - Professional""]"
1113,USA,"[""AWS Certified Solutions Architect - Associate""]"
1127,No Value Provided,[]
1119,USA,[]
1122,United States,"[""aws_developer"", ""aws_solutions_architect""]"
1126,No Value Provided,[]
1104,No Value Provided,[]
1131,USA,"[""AWS Certified DevOps Engineer""]"
1132,No Value Provided,"[""aws_developer"", ""aws_solutions_architect""]"
1125,India,"[""AWS Certified Developer"", ""AWS Certified Solutions Architect - Associate"", ""AWS Certified SysOps Administrator""]"
1133,No Value Provided,[]
1139,No Value Provided,[]
1027,No Value Provided,[]
1118,No Value Provided,[]
1145,USA,"[""aws_solutions_architect""]"
1134,USA,[]
1136,United States,[]
1138,No Value Provided,[]
1144,No Value Provided,[]
1140,No Value Provided,[]
1130,United States,"[""AWS Certified Solutions Architect - Associate"", ""AWS Certified SysOps Administrator""]"
1141,No Value Provided,[]
1080,USA,"[""aws_solutions_architect"", ""aws_sysops_admin""]"
1123,No Value Provided,[]
1115,No Value Provided,[]
1129,USA,[]
1147,USA,[]
1108,No Value Provided,[]
1148,No Value Provided,[]
1151,No Value Provided,[]
1149,United States,[]
1152,Canada,"[""aws_developer"", ""aws_solutions_architect""]"
1150,No Value Provided,[]
1146,No Value Provided,[]
1165,USA,[]
1157,No Value Provided,[]
1166,No Value Provided,[]
1153,No Value Provided,[]
1154,No Value Provided,[]
1158,No Value Provided,"[""aws_developer"", ""aws_solutions_architect""]"
1156,No Value Provided,"[""aws_solutions_architect""]"
1162,India,[]
1174,No Value Provided,[]
1164,No Value Provided,[]
1168,United States,"[""aws_solutions_architect""]"
1169,No Value Provided,[]
1178,No Value Provided,[]
1142,USA,[]
1173,No Value Provided,[]
1159,No Value Provided,[]
1180,United States,"[""aws_solutions_architect""]"
1170,No Value Provided,[]
1175,No Value Provided,"[""aws_solutions_architect""]"
1155,No Value Provided,[]
1161,US,"[""AWS Certified DevOps Engineer"", ""AWS Certified Developer"", ""AWS Certified Solutions Architect - Associate"", ""AWS Certified Solutions Architect - Professional"", ""AWS Certified SysOps Administrator""]"
1177,No Value Provided,"[""aws_solutions_architect""]"
1176,No Value Provided,[]
1187,No Value Provided,[]
1190,No Value Provided,[]
1182,No Value Provided,[]
1179,No Value Provided,[]
1185,No Value Provided,[]
1191,No Value Provided,[]
1194,United States,[]
1143,United States,[]
1200,No Value Provided,[]
1186,No Value Provided,[]
1184,No Value Provided,[]
1172,United Kingdom,[]
1135,No Value Provided,[]
1188,No Value Provided,[]
1198,Estados Unidos,[]
1196,No Value Provided,[]
1209,No Value Provided,[]
1171,United Kingdom,"[""aws_solutions_architect""]"
1203,No Value Provided,[]
1201,No Value Provided,[]
1216,No Value Provided,[]
1207,No Value Provided,[]
1193,United States,"[""aws_developer""]"
1189,United States,"[""aws_solutions_architect""]"
1215,US,[]
1214,Venezuela,[]
1197,venezuela,"[""aws_developer""]"
1202,No Value Provided,[]
1199,USA,[]
1183,India,[]
1213,Mexico,"[""aws_solutions_architect""]"
1210,No Value Provided,[]
1181,No Value Provided,[]
1195,United States,"[""aws_developer"", ""aws_solutions_architect""]"
1222,No Value Provided,[]
1221,No Value Provided,[]
1206,India,"[""aws_solutions_architect""]"
1192,No Value Provided,[]
1167,No Value Provided,"[""aws_solutions_architect""]"
1212,No Value Provided,"[""aws_solutions_architect""]"
1224,No Value Provided,"[""aws_developer"", ""aws_solutions_architect"", ""aws_sysops_admin""]"
1227,No Value Provided,[]
1208,No Value Provided,[]
1204,France,"[""aws_solutions_architect""]"
1211,Ireland,"[""aws_solutions_architect""]"
1205,No Value Provided,"[""aws_developer""]"
1219,England,"[""aws_solutions_architect"", ""aws_solutions_professional"", ""aws_sysops_admin""]"
1228,India,"[""AWS Certified Solutions Architect - Associate""]"
1226,United States,[]
1229,No Value Provided,[]
1067,USA,[]
1230,No Value Provided,[]
1231,No Value Provided,[]
1241,No Value Provided,[]
1223,No Value Provided,[]
1238,United States,"[""aws_solutions_architect""]"
1246,Spain,[]
